desgs,epoch,M,omega,Omega,inc,ecc,a,H,q,Q,min_dist_bound_AU,V_bright_bound
149,2023-02-25,297.85523,251.01695,159.59941,0.93987,0.0655352,2.1747153,10.6,2.03219489787144,2.31723570212856,1.0154405978714398,12.173099397077774
150,2023-02-25,234.43089,153.90919,206.10437,2.20201,0.1237439,2.9844994,8.52,2.6151858046963397,3.35381299530366,1.5984315046963395,11.62598290510352
151,2023-02-25,346.82287,132.8829,38.73734,6.43172,0.0355102,2.5919155,9.19,2.4998760622118996,2.6839549377881,1.4831217622118995,12.035476426989568
152,2023-02-25,118.65459,58.89014,39.87781,12.12363,0.0818168,3.1392884,8.29,2.8824418688348796,3.3961349311651197,1.8656875688348795,11.942997376558067
153,2023-02-25,348.83064,39.43578,228.09004,7.8288,0.1394252,3.9741496,7.66,3.42005299719008,4.52824620280992,2.40329869719008,12.234202934851345
154,2023-02-25,174.7259,163.75193,36.53869,21.0191,0.0749971,3.2064326,7.72,2.96595945365454,3.4469057463454598,1.9492051536545398,11.530113803285136
155,2023-02-25,29.32928,46.70077,40.54814,11.36174,0.2724993,2.7604135,11.19,2.0082027535394498,3.51262424646055,0.9914484535394497,12.685388489594258
156,2023-02-25,68.02344,338.28495,241.81286,9.77896,0.226063,2.7276205,8.77,2.1110064269085,3.3442345730914997,1.0942521269084997,10.58803477468598
157,2023-02-25,162.55712,46.32657,62.03432,12.16332,0.1978426,2.5794509,11.22,2.06912562737166,3.0897761726283397,1.05237132737166,12.909779333224517
158,2023-02-25,137.71385,146.82442,277.66792,1.00507,0.052883,2.8696313,9.22,2.7178765879621,3.0213860120379,1.7011222879620997,12.544826336567045
159,2023-02-25,286.94967,332.73407,133.977,6.11377,0.1013577,3.1136972,8.35,2.7981000133115597,3.4292943866884396,1.7813457133115596,11.838057232811376
160,2023-02-25,311.88421,50.66932,8.59236,3.82346,0.0671501,2.7295638,9.15,2.54627331787362,2.9128542821263803,1.52951901787362,12.102299502334983
161,2023-02-25,273.42436,294.85286,18.55044,9.05772,0.1368851,2.3799526,9.17,2.0541725503537402,2.70573264964626,1.0374182503537401,10.812954026860353
162,2023-02-25,32.1119,115.71636,35.44618,6.09157,0.18216,3.0166107,8.96,2.467104894888,3.5661165051120007,1.450350594888,11.728303061882503
163,2023-02-25,209.35094,298.58113,160.04263,4.81634,0.1924345,2.3657746,9.76,1.9105179477363,2.8210312522637,0.8937636477362998,10.921869042004117
164,2023-02-25,53.59005,284.00658,76.78954,24.47703,0.3471855,2.6309785,8.85,1.71754091398825,3.5444160860117497,0.7007866139882499,9.25246444449596
165,2023-02-25,196.42275,345.00074,302.45286,11.23612,0.0839951,3.1245926,7.84,2.8621421321037404,3.3870430678962604,1.8453878321037402,11.453894247123612
166,2023-02-25,53.1661,263.98429,128.8975,12.02467,0.2108658,2.6854044,9.92,2.11914445287048,3.25166434712952,1.10239015287048,11.762479434608094
167,2023-02-25,173.2282,128.18832,166.10651,2.21754,0.0375945,2.8520289,9.23,2.74480829951895,2.95924950048105,1.72805399951895,12.610346638727354
168,2023-02-25,190.99396,175.95974,205.9212,4.67041,0.0747245,3.3753949,8.08,3.12317020379495,3.62761959620505,2.1064159037949497,12.170698888912073
169,2023-02-25,183.0338,334.76093,354.7305,5.50115,0.1305834,2.3583691,9.53,2.05040524446706,2.6663329555329396,1.0336509444670599,11.161068048986698
170,2023-02-25,308.95803,158.02235,301.21056,14.3597,0.0617327,2.5546343,9.35,2.39692982714839,2.71233877285161,1.3801755271483898,11.947948210574605
171,2023-02-25,79.54841,55.5455,100.46773,2.54664,0.132007,3.1305163,8.64,2.7172662347859,3.5437663652141,1.7005119347859,11.963559382562433
172,2023-02-25,99.67815,359.30596,331.90373,10.01771,0.1147826,2.3790959,8.77,2.10601708694866,2.65217471305134,1.0892627869486597,10.572972786620563
173,2023-02-25,338.01029,228.79353,148.17201,14.19847,0.2099508,2.7422916,8.0,2.16654528474672,3.3180379152532806,1.14979098474672,9.98193335064723
174,2023-02-25,98.12008,290.2569,327.62359,12.10771,0.1418628,2.865078,8.37,2.4586300127016,3.2715259872984,1.4418757127016,11.118105026592602
175,2023-02-25,92.78493,319.74175,21.26869,3.21923,0.2325885,3.1836256,8.59,2.4431508971344003,3.9241003028656003,1.4263965971344001,11.300952926871584
